N,Nodos,Tiempo
500,100,0.002585
1000,100,0.002629
1500,100,0.002551
2000,100,0.002557
2500,100,0.0026
3000,100,0.002645
3500,100,0.002634
4000,100,0.002629
4500,100,0.002651
5000,100,0.002639
5500,100,0.002619
6000,100,0.002621
6500,100,0.00256
7000,100,0.002706
7500,100,0.002541
8000,100,0.002679
8500,100,0.002672
9000,100,0.002616
9500,100,0.002645
10000,100,0.002616
500,300,0.002607
1000,300,0.002647
1500,300,0.002546
2000,300,0.00252
2500,300,0.00261
3000,300,0.002622
3500,300,0.002582
4000,300,0.003106
4500,300,0.002637
5000,300,0.00281
5500,300,0.002763
6000,300,0.002538
6500,300,0.002582
7000,300,0.002578
7500,300,0.002615
8000,300,0.002565
8500,300,0.002674
9000,300,0.002715
9500,300,0.002684
10000,300,0.002807
500,500,0.002573
1000,500,0.002559
1500,500,0.00267
2000,500,0.002585
2500,500,0.00266
3000,500,0.002625
3500,500,0.002556
4000,500,0.002594
4500,500,0.00268
5000,500,0.002604
5500,500,0.00267
6000,500,0.002668
6500,500,0.002655
7000,500,0.002634
7500,500,0.002684
8000,500,0.002662
8500,500,0.002694
9000,500,0.002791
9500,500,0.002647
10000,500,0.002961
500,700,0.002781
1000,700,0.002722
1500,700,0.002653
2000,700,0.0026
2500,700,0.00258
3000,700,0.002547
3500,700,0.002747
4000,700,0.00261
4500,700,0.002582
5000,700,0.002603
5500,700,0.002718
6000,700,0.002697
6500,700,0.00266
7000,700,0.002741
7500,700,0.002815
8000,700,0.002748
8500,700,0.002765
9000,700,0.002771
9500,700,0.002704
10000,700,0.00267
500,900,0.002582
1000,900,0.002567
1500,900,0.002549
2000,900,0.002615
2500,900,0.002557
3000,900,0.002635
3500,900,0.002546
4000,900,0.002512
4500,900,0.002511
5000,900,0.002697
5500,900,0.002656
6000,900,0.002702
6500,900,0.002588
7000,900,0.002584
7500,900,0.002751
8000,900,0.002764
8500,900,0.002704
9000,900,0.002687
9500,900,0.002714
10000,900,0.002646
